Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id
52710,2026-05-11 21:23:27.600000+00:00,52.1595804,21.2040378,100.7,16.67,-0.088,-0.174,0.946,0,17.580030519548,39.0,39.37220039024297,1.0,7.0
52715,2026-05-11 21:23:28.100000+00:00,52.1595734,21.2040709,100.4,16.47,-0.103,-0.169,0.964,0,17.195655359382844,39.0,36.984325903009456,1.0,7.0
52720,2026-05-11 21:23:28.600000+00:00,52.1595642,21.2041033,100.1,16.47,-0.109,-0.134,0.974,0,17.534957536777004,39.0,34.5577564475334,1.0,7.0
52725,2026-05-11 21:23:29.100000+00:00,52.159554,21.2041317,99.8,16.42,-0.1,-0.111,0.945,0,16.16306877435672,39.0,32.3535357042072,1.0,7.0
52730,2026-05-11 21:23:29.600000+00:00,52.1595448,21.2041589,99.7,14.95,-0.093,-0.031,0.968,0,15.255028950912594,39.0,30.267939994244017,1.0,7.0
52735,2026-05-11 21:23:30.100000+00:00,52.1595368,21.2041863,99.7,14.64,-0.082,0.012,0.973,0,14.903709917986678,39.0,28.214910756440275,1.0,7.0
52740,2026-05-11 21:23:30.600000+00:00,52.1595299,21.2042131,99.5,14.24,-0.077,0.058,0.965,0,14.274827603728689,39.0,26.240127060621845,1.0,7.0
52745,2026-05-11 21:23:31.100000+00:00,52.1595249,21.2042398,99.4,13.49,-0.08,0.018,0.98,0,13.710870841150978,39.0,24.335920439173215,1.0,7.0
52750,2026-05-11 21:23:31.600000+00:00,52.1595219,21.2042663,99.5,13.29,-0.084,0.032,0.998,0,13.235028017626991,39.0,22.512829050784397,1.0,7.0
52755,2026-05-11 21:23:32.100000+00:00,52.1595209,21.2042931,99.5,13.03,-0.068,0.048,0.948,0,13.18693955108484,39.0,20.74575562883478,1.0,7.0
52760,2026-05-11 21:23:32.600000+00:00,52.1595205,21.2043195,99.3,13.33,-0.065,-0.01,0.981,0,12.970111430083916,39.0,19.04025273405744,1.0,7.0
52765,2026-05-11 21:23:33.100000+00:00,52.1595208,21.2043464,99.3,13.21,-0.047,-0.046,0.969,0,13.213911499069157,39.0,17.353436126212937,1.0,7.0
52770,2026-05-11 21:23:33.600000+00:00,52.1595204,21.2043725,99.1,12.96,-0.047,-0.035,0.968,0,12.82281419894941,39.0,15.715013944649295,1.0,7.0
52775,2026-05-11 21:23:34.100000+00:00,52.1595194,21.2043987,99.0,12.45,-0.116,-0.043,0.974,0,12.892810602141894,39.0,14.073227914441215,1.0,7.0
52780,2026-05-11 21:23:34.600000+00:00,52.1595181,21.2044203,98.8,9.58,-0.213,-0.06,0.995,0,10.65960647300916,39.0,12.722478152013625,1.0,7.0
52785,2026-05-11 21:23:35.100000+00:00,52.1595173,21.2044364,98.8,6.98,-0.207,-0.03,0.931,0,7.93328843615065,39.0,11.746407398419564,1.0,7.0
52790,2026-05-11 21:23:35.600000+00:00,52.1595168,21.2044478,98.8,5.01,-0.147,-0.026,0.968,0,5.613314477102002,39.0,11.073850545694734,1.0,7.0
52795,2026-05-11 21:23:36.100000+00:00,52.1595163,21.2044565,98.8,3.89,-0.118,-0.031,0.963,0,4.291648382430853,39.0,10.562536182106172,1.0,7.0
52800,2026-05-11 21:23:36.600000+00:00,52.1595162,21.2044619,98.8,1.81,-0.15,-0.026,0.968,0,2.6533769152384727,39.0,10.264251914243646,1.0,7.0
52805,2026-05-11 21:23:37.100000+00:00,52.1595162,21.2044647,98.8,1.16,-0.077,-0.033,0.97,0,1.375198645719697,39.0,10.115034232045694,1.0,7.0
52810,2026-05-11 21:23:37.600000+00:00,52.159516,21.2044673,98.7,1.16,-0.06,-0.034,0.962,0,1.286969874705473,39.0,9.96358913718815,1.0,7.0
52815,2026-05-11 21:23:38.100000+00:00,52.1595164,21.2044688,98.7,0.23,-0.087,-0.025,0.969,0,0.8033065504914689,39.0,9.913431620535677,1.0,7.0
52820,2026-05-11 21:23:38.600000+00:00,52.1595168,21.2044693,98.7,0.09,-0.059,-0.035,0.968,0,0.4035588583417558,39.0,9.916128404102171,1.0,7.0
52825,2026-05-11 21:23:39.100000+00:00,52.1595172,21.2044698,98.7,0.04,-0.039,-0.037,0.974,0,0.4035588610400744,39.0,9.919141180017116,1.0,7.0
52830,2026-05-11 21:23:39.600000+00:00,52.1595177,21.2044702,98.7,0.11,-0.044,-0.031,0.973,0,0.4459112107288561,39.0,9.934916950303407,1.0,7.0
52835,2026-05-11 21:23:40.100000+00:00,52.1595183,21.2044703,98.7,0.16,-0.036,-0.032,0.973,0,0.4828663779049881,39.0,9.973757060529227,1.0,7.0
52840,2026-05-11 21:23:40.600000+00:00,52.1595191,21.2044703,98.7,0.17,-0.04,-0.036,0.973,0,0.6404827738938579,39.0,10.03278963918185,1.0,7.0
52845,2026-05-11 21:23:41.100000+00:00,52.1595198,21.2044704,98.8,0.13,-0.037,-0.03,0.976,0,0.5625704506971806,39.0,10.079742775341261,1.0,7.0
52850,2026-05-11 21:23:41.600000+00:00,52.1595205,21.2044705,98.8,0.19,-0.043,-0.034,0.971,0,0.5625704454200857,39.0,10.127081068901962,1.0,7.0
52855,2026-05-11 21:23:42.100000+00:00,52.1595211,21.2044707,98.8,0.06,-0.043,-0.038,0.965,0,0.4903025210763573,39.0,10.162238149129939,1.0,7.0
52860,2026-05-11 21:23:42.600000+00:00,52.1595219,21.2044709,98.8,0.03,-0.044,-0.036,0.97,0,0.6479714661847835,39.0,10.212945865695751,1.0,7.0
52865,2026-05-11 21:23:43.100000+00:00,52.1595228,21.2044714,98.8,0.14,-0.041,-0.032,0.973,0,0.7612408192176081,39.0,10.257078795924594,1.0,7.0
52870,2026-05-11 21:23:43.600000+00:00,52.1595234,21.2044717,98.9,0.18,-0.037,-0.031,0.974,0,0.502451588460848,39.0,10.288631823815303,1.0,7.0
52875,2026-05-11 21:23:44.100000+00:00,52.1595239,21.204472,98.9,0.05,-0.039,-0.031,0.976,0,0.4265575559126836,39.0,10.312776143616505,1.0,7.0
52880,2026-05-11 21:23:44.600000+00:00,52.1595245,21.2044722,98.9,0.06,-0.037,-0.032,0.976,0,0.49030251957303844,39.0,10.349874557237733,1.0,7.0
52885,2026-05-11 21:23:45.100000+00:00,52.1595251,21.2044725,98.9,0.08,-0.041,-0.032,0.976,0,0.5024515868105077,39.0,10.38246788956002,1.0,7.0
52890,2026-05-11 21:23:45.600000+00:00,52.1595259,21.2044727,98.9,0.06,-0.038,-0.032,0.976,0,0.6479714598126548,39.0,10.436057706921506,1.0,7.0
52895,2026-05-11 21:23:46.100000+00:00,52.1595267,21.2044728,98.9,0.06,-0.039,-0.032,0.976,0,0.6423631351794924,39.0,10.49489770218597,1.0,7.0
52900,2026-05-11 21:23:46.600000+00:00,52.1595273,21.2044727,98.9,0.07,-0.036,-0.032,0.975,0,0.48286637689482415,39.0,10.54758814614475,1.0,7.0
52905,2026-05-11 21:23:47.100000+00:00,52.1595279,21.2044727,98.8,0.1,-0.037,-0.029,0.973,0,0.48036208296675653,39.0,10.595727682339968,1.0,7.0
52910,2026-05-11 21:23:47.600000+00:00,52.1595288,21.2044728,98.8,0.02,-0.04,-0.04,0.979,0,0.722215065772934,39.0,10.663633070491239,1.0,7.0
52915,2026-05-11 21:23:48.100000+00:00,52.1595297,21.2044729,98.8,0.03,-0.04,-0.04,0.977,0,0.7222150655991646,39.0,10.732046340828777,1.0,7.0
52920,2026-05-11 21:23:48.600000+00:00,52.1595307,21.2044731,98.8,0.1,-0.041,-0.037,0.97,0,0.8066069323926494,39.0,10.804551779967577,1.0,7.0
52925,2026-05-11 21:23:49.100000+00:00,52.1595317,21.2044733,98.8,0.04,-0.037,-0.04,0.974,0,0.8066069369884724,39.0,10.877727730177673,1.0,7.0
52930,2026-05-11 21:23:49.600000+00:00,52.1595327,21.2044733,98.8,0.11,-0.038,-0.042,0.975,0,0.8006034699136857,39.0,10.960615612813715,1.0,7.0
52935,2026-05-11 21:23:50.100000+00:00,52.1595335,21.2044733,98.8,0.06,-0.037,-0.04,0.974,0,0.6404827789865841,39.0,11.027284636738523,1.0,7.0
52940,2026-05-11 21:23:50.600000+00:00,52.1595343,21.2044735,98.8,0.07,-0.04,-0.04,0.978,0,0.6479714570023095,39.0,11.085320602641813,1.0,7.0
52945,2026-05-11 21:23:51.100000+00:00,52.1595348,21.2044735,98.8,0.19,-0.036,-0.038,0.974,0,0.4003017425959321,39.0,11.127374175242634,1.0,7.0
52950,2026-05-11 21:23:51.600000+00:00,52.1595355,21.2044737,98.8,0.13,-0.038,-0.04,0.974,0,0.5689658318206875,39.0,11.177592538941944,1.0,7.0
52955,2026-05-11 21:23:52.100000+00:00,52.1595361,21.2044738,98.8,0.04,-0.039,-0.04,0.976,0,0.4828663757482206,39.0,11.224045129877863,1.0,7.0
52960,2026-05-11 21:23:52.600000+00:00,52.1595364,21.2044739,98.8,0.06,-0.039,-0.04,0.976,0,0.24515126211202587,39.0,11.245153956152718,1.0,7.0
52965,2026-05-11 21:23:53.100000+00:00,52.1595369,21.2044747,98.8,0.51,-0.038,-0.038,0.976,0,0.560912355147436,39.0,11.2528498319068,1.0,7.0
52970,2026-05-11 21:23:53.600000+00:00,52.1595373,21.2044753,98.8,0.13,-0.038,-0.043,0.972,0,0.4351941635636395,39.0,11.261121167539356,1.0,7.0
52975,2026-05-11 21:23:54.100000+00:00,52.1595378,21.2044758,98.8,0.15,-0.04,-0.044,0.971,0,0.46962392970702554,39.0,11.282643355096365,1.0,7.0
52980,2026-05-11 21:23:54.600000+00:00,52.1595383,21.2044764,98.9,0.34,-0.041,-0.041,0.974,0,0.4970723233986868,39.0,11.30023364650786,1.0,7.0
52985,2026-05-11 21:23:55.100000+00:00,52.1595388,21.2044765,98.9,0.08,-0.034,-0.043,0.972,0,0.403303462356583,39.0,11.339422095960458,1.0,7.0
