stop_sequence,arrival_time,travel_time_s,anomaly
38,2026-05-11 21:54:05,,False
37,2026-05-11 21:54:45,40.0,False
36,2026-05-11 21:55:25,40.0,False
35,2026-05-11 21:55:46,21.0,False
34,2026-05-11 21:56:25,39.0,False
33,2026-05-11 21:57:34,69.0,False
32,2026-05-11 21:58:45,71.0,False
31,2026-05-11 21:59:42,57.0,False
30,2026-05-11 22:00:36,54.0,False
29,2026-05-11 22:01:27,51.0,False
28,2026-05-11 22:02:15,48.0,False
27,2026-05-11 22:03:04,49.0,False
26,2026-05-11 22:04:26,82.0,False
25,2026-05-11 22:05:05,39.0,False
24,2026-05-11 22:06:36,91.0,False
23,2026-05-11 22:07:46,70.0,False
22,2026-05-11 22:09:15,89.0,False
21,2026-05-11 22:09:56,41.0,False
20,2026-05-11 22:11:06,70.0,False
19,2026-05-11 22:12:25,79.0,False
18,2026-05-11 22:13:12,47.0,False
17,2026-05-11 22:13:53,41.0,False
16,2026-05-11 22:14:56,63.0,False
15,2026-05-11 22:15:35,39.0,False
14,2026-05-11 22:16:46,71.0,False
13,2026-05-11 22:18:47,121.0,False
12,2026-05-11 22:19:25,38.0,False
11,2026-05-11 22:20:35,70.0,False
10,2026-05-11 22:22:06,91.0,False
9,2026-05-11 22:24:14,128.0,False
8,2026-05-11 22:24:55,41.0,False
7,2026-05-11 22:26:15,80.0,False
6,2026-05-11 22:27:16,61.0,False
5,2026-05-11 22:29:04,108.0,False
4,2026-05-11 22:30:32,88.0,False
3,2026-05-11 22:31:13,41.0,False
2,2026-05-11 22:34:06,173.0,False
1,2026-05-11 22:35:42,96.0,False
0,2026-05-11 22:37:26,104.0,False
