stop_sequence,arrival_time,travel_time_s,anomaly
0,2026-05-11 14:35:25.100000+00:00,,False
1,2026-05-11 14:35:42.100000+00:00,17.0,False
2,2026-05-11 14:37:43.600000+00:00,121.5,False
3,2026-05-11 14:39:44.600000+00:00,121.0,False
4,2026-05-11 14:42:01.100000+00:00,136.5,False
5,2026-05-11 14:44:33.100000+00:00,152.0,False
6,2026-05-11 14:46:17.600000+00:00,104.5,False
7,2026-05-11 14:48:57.600000+00:00,160.0,False
8,2026-05-11 14:50:28.100000+00:00,90.5,False
9,2026-05-11 14:52:14.100000+00:00,106.0,False
10,2026-05-11 14:52:56.600000+00:00,42.5,False
11,2026-05-11 14:54:03.600000+00:00,67.0,False
12,2026-05-11 14:55:14.100000+00:00,70.5,False
13,2026-05-11 14:56:04.100000+00:00,50.0,False
14,2026-05-11 14:57:04.100000+00:00,60.0,False
15,2026-05-11 14:58:53.600000+00:00,109.5,False
16,2026-05-11 15:01:00.600000+00:00,127.0,False
17,2026-05-11 15:01:56.100000+00:00,55.5,False
18,2026-05-11 15:02:56.600000+00:00,60.5,False
19,2026-05-11 15:03:43.100000+00:00,46.5,False
20,2026-05-11 15:04:25.100000+00:00,42.0,False
21,2026-05-11 15:05:50.600000+00:00,85.5,False
22,2026-05-11 15:07:08.600000+00:00,78.0,False
23,2026-05-11 15:08:08.100000+00:00,59.5,False
24,2026-05-11 15:09:23.600000+00:00,75.5,False
25,2026-05-11 15:10:39.600000+00:00,76.0,False
26,2026-05-11 15:12:21.100000+00:00,101.5,False
27,2026-05-11 15:14:03.600000+00:00,102.5,False
28,2026-05-11 15:14:54.100000+00:00,50.5,False
29,2026-05-11 15:16:08.600000+00:00,74.5,False
30,2026-05-11 15:17:49.600000+00:00,101.0,False
31,2026-05-11 15:18:43.600000+00:00,54.0,False
32,2026-05-11 15:19:19.100000+00:00,35.5,False
33,2026-05-11 15:20:05.100000+00:00,46.0,False
34,2026-05-11 15:22:21.600000+00:00,136.5,False
35,2026-05-11 15:24:28.100000+00:00,126.5,False
36,2026-05-11 15:24:58.100000+00:00,30.0,False
37,2026-05-11 15:25:21.100000+00:00,23.0,False
38,2026-05-11 15:26:14.600000+00:00,53.5,False
39,2026-05-11 15:26:47.100000+00:00,32.5,False
