Record,Time,lat,lon,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,speed_kmh,nearest_stop_id,nearest_distance_m,direction,course_id,reconstructed_lat,reconstructed_lon,reconstructed_stop
1,2026-05-11 13:29:29.100000+00:00,52.1579328,21.1952491,80.4,44.59,0.051,0.002,0.957,0,0.0,,182.82726610149615,0.0,1.0,52.15726,21.191824,36.0
6,2026-05-11 13:29:29.600000+00:00,52.1579146,21.1951645,79.9,44.31,0.045,-0.006,0.978,0,44.03286472599291,,188.94291277789145,0.0,1.0,52.15726,21.191824,36.0
11,2026-05-11 13:29:30.100000+00:00,52.1578969,21.1950778,79.6,45.23,0.061,-0.005,0.959,0,44.87950400047004,,195.1756676692242,0.0,1.0,52.15726,21.191824,36.0
16,2026-05-11 13:29:30.600000+00:00,52.1578775,21.1949872,79.8,46.33,0.033,-0.007,0.991,0,47.13179700139733,,201.7217381017796,0.0,1.0,52.15726,21.191824,36.0
21,2026-05-11 13:29:31.100000+00:00,52.1578597,21.1948999,79.3,45.33,0.069,0.0,0.947,0,45.18444040059287,,207.9968384799349,0.0,1.0,52.15726,21.191824,36.0
26,2026-05-11 13:29:31.600000+00:00,52.157842,21.1948114,79.1,45.5,0.008,0.0,1.004,0,45.71926778049773,,213.8207920223776,0.0,1.0,52.15726,21.191824,36.0
31,2026-05-11 13:29:32.100000+00:00,52.1578236,21.1947207,79.0,46.79,0.033,0.0,0.936,0,46.92074468215155,,207.3044973293992,0.0,1.0,52.15726,21.191824,36.0
36,2026-05-11 13:29:32.600000+00:00,52.1578053,21.1946304,78.8,46.83,0.039,-0.013,1.007,0,46.70909814086349,,200.8176014903994,0.0,1.0,52.15726,21.191824,36.0
41,2026-05-11 13:29:33.100000+00:00,52.1577871,21.1945406,78.4,46.53,0.041,-0.003,0.948,0,46.450816164110265,,194.36660888174163,0.0,1.0,52.15726,21.191824,36.0
46,2026-05-11 13:29:33.600000+00:00,52.157769,21.194449,78.1,47.42,0.032,-0.004,0.977,0,47.26650801244739,,187.8019115032343,0.0,1.0,52.15726,21.191824,36.0
51,2026-05-11 13:29:34.100000+00:00,52.1577504,21.1943559,78.0,48.08,0.037,-0.001,0.959,0,48.09076500868467,,181.12290125409552,0.0,1.0,52.15726,21.191824,36.0
