trip_id,direction,n_points,n_reconstructed,n_stops,mean_travel_time_s,median_travel_time_s,max_travel_time_s,n_anomalies,start_time,end_time,start_stop,end_stop
1,FORWARD,6233,6233,37,-86.125,-76.75,-27.0,0,2026-05-11 13:29:29.100000+00:00,2026-05-11 14:21:09.600000+00:00,0,36
2,FORWARD,6178,6178,40,79.02564102564102,74.5,160.0,0,2026-05-11 14:35:25.100000+00:00,2026-05-11 15:26:47.100000+00:00,0,39
3,FORWARD,4889,4889,39,63.8421052631579,58.5,133.0,0,2026-05-11 18:45:11.400000+00:00,2026-05-11 19:25:37.400000+00:00,0,38
4,FORWARD,77,77,1,,,,0,2026-05-11 19:26:23.400000+00:00,2026-05-11 19:26:23.400000+00:00,39,39
5,BACKWARD,5039,5039,37,69.58333333333333,62.25,150.0,0,2026-05-11 19:55:37.100000+00:00,2026-05-11 20:37:22.100000+00:00,36,0
6,FORWARD,4293,4293,39,56.06578947368421,49.75,138.0,0,2026-05-11 20:47:18.600000+00:00,2026-05-11 21:22:49.100000+00:00,0,38
7,FORWARD,66,66,1,,,,0,2026-05-11 21:23:27.600000+00:00,2026-05-11 21:23:27.600000+00:00,39,39
8,FORWARD,80,80,1,,,,0,2026-05-11 21:53:50.100000+00:00,2026-05-11 21:53:50.100000+00:00,39,39
9,BACKWARD,4676,4676,39,61.10526315789474,57.75,144.0,0,2026-05-11 21:54:47.100000+00:00,2026-05-11 22:33:29.100000+00:00,38,0
10,FORWARD,80,80,1,,,,0,2026-05-11 21:53:50.100000+00:00,2026-05-11 21:53:50.100000+00:00,39,39
11,BACKWARD,4676,4676,39,61.10526315789474,57.75,144.0,0,2026-05-11 21:54:47.100000+00:00,2026-05-11 22:33:29.100000+00:00,38,0
